,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
24583,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8.0,Doubletree by Hilton London Kensington, Staff who couldn t speak English Public toilets in basement and one lift out of order Asked aboutvdisabled on ground floor told there was not one But there was right in the Sight line of receptionist I do not think she understood a word outside her immediate duties , Bar staff were great So we re overnight concierge when we had a medical problem,5.4,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.4925138,-0.17879170000000003,2017-02-08
25592,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8.6,Ace Hotel London Shoreditch, Everything comes with a price tag There was no even complimentary water in the rooms Breakfast in Hoi Polloi was disappointing with coffee like cement and cold hollandaise on my eggs benedict Lots of style but missing substance If you like hip hotels in good neighbourhoods I d recommend the citizen M chain rather than Ace , Very comfortable bed and excellent location ,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5254162,-0.07728489999999999,2017-02-08
26106,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,9.2,Staybridge Suites London Vauxhall, The staff were less welcoming than previously they seemed rushed and a bit grumpy, The standard of the breakfast has dropped since we last visited horrible eggs overcooked bacon dry sausages etc I m sure this can be easily remedied ,8.8,"[' Leisure trip ', ' Couple ', ' Standard Suite ', ' Stayed 3 nights ']",51.4891226,-0.12056389999999999,2017-07-20
26350,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8.4,The Grosvenor, My room wasn t ready until close to 5pm and we had arrived around noon and had asked for early check in so that was disappointing Check in time was 3pm , Staff was very helpful with any requests we made Recommend the executive level for the extra s provided to the guests The room was clean and wasn t just a hotel room had a den feel so that was nice Location of hotel was perfect for our needs ,10.0,"[' Business trip ', ' Group ', ' Executive King Room ', ' Stayed 2 nights ']",51.4956657,-0.1452793,2017-03-08
27867,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, No real complaints Not really an English flair more like a good business hotel All the amenities were there however My wife says it was a typical businessman s hotel with no place for a woman to set down and put on make up Unfortunately most hotels have this problem Are there never any women involved in designing a hotel room A good value for our money overall , The eggs were NOT fluffy Overall the hotel was bright clean and In a decent location with very pleasant staff A great lounge We were quite pleased overall ,7.5,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.5014191,-0.16258050000000002,2017-02-08
28142,102 Avenue de Villiers 17th arr 75017 Paris France,8.8,Amp re, If you need a taxi there is a taxi stand by the Place Pereire 2 mn away it is quicker than the hotel ordering a taxi for you , Immaculate very comfortable nice quiet location pleasant staff lovely breakfast ,9.2,"[' Business trip ', ' Solo traveler ', ' Premium Double Room with Garden View ', ' Stayed 1 night ']",48.8848583,2.2997023,2017-07-31
28314,102 Avenue Victor Hugo 16th arr 75016 Paris France,8.3,Melia Paris Champs Elys es, The room service was available only until 22 30 would be more practical if the room service is available until midnight But that is just a suggestion more than a critique , The room was in a very good shape clean very well prepared everything was at hand The staff at the reception was welcoming spoke nice and fluent English did their best to help us when needed The hotel overall was very pleasant amazingly located Eiffel tower Arc de Triomphe and many amazing restaurants are at a walking distance ,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Room ', ' Stayed 2 nights ']",48.86889620000001,2.2827459,2017-07-05
28329,102 Bd De Grenelle 15th arr 75015 Paris France,8.6,Le Parisis Paris Tour Eiffel, Nothing it was great , Very clean great location with a room view of the eifall tower close to a metro station with access to the whole city Not much noise from outside and friendly staff,10.0,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8494851,2.2955063,2017-01-08
28757,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,8.2,Thistle Kensington Gardens, Quite narrow double bed made it necessary to share it with child instead of husband Otherwise everything was fine , Air conditioning Perfect location by Kensington Gardens 1 minute walk to bus or subway Clean newly refinished interior ,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.510843900000005,-0.18390739999999997,2017-03-08
29619,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,8.2,Park Plaza Sherlock Holmes London, Sliding door to toilet and bathroom, Great location good facilities,8.3,"[' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5209191,-0.1566567,2016-08-27
30211,108 Rue Saint Lazare 8th arr 75008 Paris France,8.4,Hilton Paris Opera, complimentary water was only given on day 1 i was there for around 4 5 days, really good breakfast very comfy room very good location hotel had great facilities staff spoke very good english and were very helpful,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 4 nights ']",48.8756604,2.3252075,2017-03-08
30320,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,8.7,The Kensington Hotel, The hotel staff were not bothered to check an earlier promise by one of their managers two years before to upgrade me whenever I came again They said they were anyway fully booked But it would have been nice if they at least checked , The comfort level the cleanliness and primarily the great location ,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.4925478,-0.1780611,2017-02-08
30653,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8.7,Holiday Inn London Stratford City, Can t think of anything negative to say Very good experience , Close proximity to rail services shops and restaurants as well as start point for Ride London Staff were friendly and helpful AirCon in room was very welcome ,9.6,"[' Leisure trip ', ' Group ', ' Queen Room Non Smoking ', ' Stayed 3 nights ']",51.5426054,-0.0072708,2017-03-08
31647,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,9.2,Staybridge Suites London Stratford, Breakfast could be better don t like eggs that have been lying around for a while and placemats would be great It talks about self catering but you cannot sit and eat you meal in your room , Really enjoyed the location to the Start of Ride London 100 could not be easier Excellent location to all trains Special mention to our Reception area and Especially MD Mohammad he was excellent helped with everything and everybody all the times ,9.6,"[' Leisure trip ', ' Couple ', ' Studio Suite ', ' Stayed 1 night ']",51.542635100000005,-0.007327199999999999,2017-03-08
32137,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,8.0,Shepherd s Bush Boutique Hotel,No Negative, The room was perfect Comfy bed and very quiet Location was superb and Michael at reception was fantastic I left my watch after I had checked out on the Sunday He called within the hour and it was in the post the following day Thank you ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5054544,-0.2262216,2017-03-08
32668,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,8.1,My Bloomsbury, The shower was poor and the bathroom door had no stopper so slammed into the tiled wall when you opened it Also only 2 English breakfast teabags and a couple of milks in the room a couple more would have been nice , Rooms were spacious clean and the room amenties were excellent The location was excellent and the restaurant adjoining the hotel Gails Kitchen was excellent for breakfast ,9.2,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5188555,-0.1319172,2017-02-08
33131,11 15 Rue De Lyon 12th arr 75012 Paris France,8.3,Holiday Inn Paris Gare de Lyon Bastille, Two people on desk when we arrived We were totally ignored by one person When other person became available and served us she was lovely , In a gorgeous upgraded room Very new and modern Very comfy bed,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789,2017-01-08
33526,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,8.7,H tel Chaplain Paris Rive Gauche, The bathroom floor wasn t as clean as it might have been but this was a minor point , It was all fine not particularly noteworth in either direction ,7.5,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ']",48.8427564,2.3305636,2017-07-30
33659,11 Bis rue Mazagran 10th arr 75010 Paris France,7.9,H tel Regina Op ra Grands Boulevards, Shower didn t work well knob kept moving to hot Iron didn t arrive when staff said it would, Great location on two major metro lines and walking distance to most things Good attempt at making decor interesting and kitch,7.5,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8708508,2.3515882,2017-07-18
